age	prob
20	0.549655252348917
21	0.54154764521591
22	0.533409983536339
23	0.525585359608794
24	0.518418728921603
25	0.512255152853102
26	0.507438542670225
27	0.50431115455442
28	0.503213816459813
29	0.504486512348932
30	0.508468510890748
31	0.515496703217251
32	0.52590021462494
33	0.539988723543922
34	0.558031399482248
35	0.580223283864778
36	0.606636878427495
37	0.637159546787426
38	0.671422964162979
39	0.70873939676048
40	0.748069078168971
41	0.788048084103131
42	0.827099152722216
43	0.863623706593994
44	0.896237186437503
45	0.923980418256813
46	0.946439015166569
47	0.963736757018693
